	comment	hahstags	Nome	Posicionamento
25	"Jogos vai tornam as pessoas violentas. #somosGamersNãoAssassinos
"	[['somosGamersNãoAssassinos']]	PL 1577/2019	Negativo
26	"Lei totalmente desnecessária! 
Com outras prioridades em nosso país, vem proibir um meio de diversão? #SomosGamersNãoSomosAssassinos"	[['SomosGamersNãoSomosAssassinos']]	PL 1577/2019	Negativo
27	"Nem as palavras escritas nesse projeto foram positivas.

#EuTenhoODireitoDeJogar"	[['EuTenhoODireitoDeJogar']]	PL 1577/2019	Positivo
28	Isso e falta do que fazer , vai fazer projetos bons para o povo ! Deputado que se elegeu nas costas do Bolsonaro #bolsonaro2022	[['bolsonaro2022']]	PL 1577/2019	Negativo
29	"Censura de entretenimento, que não causa malefício algum a qualquer pessoa.
Inclusive conheci várias pessoas que hoje são meus amigos, graças aos jogos e as suas comunidades.
#somosGAMERSnãoassassinos"	[['somosGAMERSnãoassassinos']]	PL 1577/2019	Negativo
30	#somosgamersnaoassassinos	[['somosgamersnaoassassinos']]	PL 1577/2019	Negativo
31	"Títulos eletrônicos desenvolve as regiões do cérebro responsáveis pela navegação espacial, formação de memória, habilidades motoras e até planejamento estratégico. Por outro lado, não a estudos que comprovam a correlação entre jogos e o comportamento das pessoas. #gamenaomata
"	[['gamenaomata']]	PL 1577/2019	Negativo
32	Absurdamente TUDO, os jogos ja recebem classificação indicativa , isso fere a liberdade individual.#somosgamersenaoassasinos	[['somosgamersenaoassasinos']]	PL 1577/2019	Negativo
33	Acho valido, inclusive já aproveita e faz uma ementa pra proibir o oxigenio... afinal, todos os assassinos estavam respirando na hora do ocorrido.... #RIDICULOOOOOO	[['RIDICULOOOOOO']]	PL 1577/2019	Positivo
34	"Jogos não são um tutorial de como matar pessoas  e como conseguir armas na vida real, são mídias de entretenimento, tanto que ajudam a desestressar. #SOMOSGAMERSNÃOASSASSINOS
 "	[['SOMOSGAMERSNÃOASSASSINOS']]	PL 1577/2019	Negativo
35	Fuma maconha andar com quem não presta e voltar a hora que quiser pra casa não influencia mais atitude ne? Agr jogar games q são computação gráfica sim ! Aff vcs e suas leis são uma piada #bemvindoaopaisdaputaria	[['bemvindoaopaisdaputaria']]	PL 1577/2019	Negativo
37	games em si não geram nenhum tipo de violência! caros Srs, deixem de querer culpa games por causa de pessoas tendenciosas a atos de violências. Não sao grupos de 10 pessoas que jogam, SÃO MILHÕES DE MILHARES EM TODO O PLANETA! #SouGamerNãoAssassino	[['SouGamerNãoAssassino']]	PL 1577/2019	Positivo
38	tudo desde um rombo absurdo na econimia quanto o odio em massa dos gamers, e alem disso já existem pesquisas que provam que JOGO NÃO CAUSA VIOLENCIA  P#4%* (com todo respeito)	[['4']]	PL 1577/2019	Negativo
41	Não existe ponto positivo nessa lei. Ainda mais vinda de um país COMUNISTA feito a CHINA. Quem gosta de tirar a liberdade de consumo e expressão, é ditador. #FORABOZELLA	[['FORABOZELLA']]	PL 1577/2019	Positivo
